event_id,case_id,internal_id,actor,activity,timestamp,bot_label,tool_source,catalyst_case_id,catalyst_message_id,catalyst_activity,catalyst_message_ts
0,00030af4-3d07-4867-a9a0-d7d400a2202c,-1,System,START-DIALOGUE-SYSTEM,2026-07-14T09:08:01.965768,,,,,,
1,00030af4-3d07-4867-a9a0-d7d400a2202c,0,ai,APRESENTAÇÃO DO CHATBOT,2026-07-14T09:08:01.965768,,,,,,
2,00030af4-3d07-4867-a9a0-d7d400a2202c,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-14T09:09:41.687652,,,,,,
3,00030af4-3d07-4867-a9a0-d7d400a2202c,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-14T09:09:41.687652,,,,,,
4,00030af4-3d07-4867-a9a0-d7d400a2202c,3,human,SOLICITAÇÃO DE NOVA TENTATIVA DE SOLUÇÃO,2026-07-14T09:11:03.551371,,,,,,
5,00030af4-3d07-4867-a9a0-d7d400a2202c,4,ai,RESPOSTA COM SOLICITAÇÃO DE INFORMAÇÃO,2026-07-14T09:11:03.551371,,,,,,
6,00030af4-3d07-4867-a9a0-d7d400a2202c,5,human,INVALID-TOUCHPOINT-SYSTEM,2026-07-14T09:12:20.383118,,,,,,
7,00030af4-3d07-4867-a9a0-d7d400a2202c,6,ai,RESPOSTA COM SOLICITAÇÃO DE INFORMAÇÃO,2026-07-14T09:12:20.383118,,,,,,
8,00030af4-3d07-4867-a9a0-d7d400a2202c,7,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-07-14T09:13:15.866613,,,,,,
9,00030af4-3d07-4867-a9a0-d7d400a2202c,99999,System,END-DIALOGUE-SYSTEM,2026-07-14T09:13:15.866613,,,,,,
10,0009a05e-bc2c-40e7-8306-802be23437d8,-1,System,START-DIALOGUE-SYSTEM,2026-06-27T13:41:58.362038,,,,,,
11,0009a05e-bc2c-40e7-8306-802be23437d8,0,ai,APRESENTAÇÃO DO CHATBOT,2026-06-27T13:41:58.362038,,,,,,
12,0009a05e-bc2c-40e7-8306-802be23437d8,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-06-27T13:50:43.320912,,,,,,
13,0009a05e-bc2c-40e7-8306-802be23437d8,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-27T13:50:43.320912,,,,,,
14,0009a05e-bc2c-40e7-8306-802be23437d8,3,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-06-27T13:58:23.506373,,,,,,
15,0009a05e-bc2c-40e7-8306-802be23437d8,4,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-27T13:58:23.506373,,,,,,
16,0009a05e-bc2c-40e7-8306-802be23437d8,5,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-06-27T14:08:01.556977,,,,,,
17,0009a05e-bc2c-40e7-8306-802be23437d8,99999,System,END-DIALOGUE-SYSTEM,2026-06-27T14:08:01.556977,,,,,,
18,0012d6b6-890d-4641-9748-b4eb8f48a465,-1,System,START-DIALOGUE-SYSTEM,2026-06-09T11:02:42.179003,,,,,,
19,0012d6b6-890d-4641-9748-b4eb8f48a465,0,ai,APRESENTAÇÃO DO CHATBOT,2026-06-09T11:02:42.179003,,,,,,
20,0012d6b6-890d-4641-9748-b4eb8f48a465,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-06-09T11:04:43.229444,,,,,,
21,0012d6b6-890d-4641-9748-b4eb8f48a465,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-09T11:04:43.229444,,,,,,
22,0012d6b6-890d-4641-9748-b4eb8f48a465,3,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-06-09T11:06:57.761969,,,,,,
23,0012d6b6-890d-4641-9748-b4eb8f48a465,4,ai,RESPOSTA COM SOLICITAÇÃO DE INFORMAÇÃO,2026-06-09T11:06:57.761969,,,,,,
24,0012d6b6-890d-4641-9748-b4eb8f48a465,5,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-06-09T11:09:03.050386,,,,,,
25,0012d6b6-890d-4641-9748-b4eb8f48a465,6,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-09T11:09:03.050386,,,,,,
26,0012d6b6-890d-4641-9748-b4eb8f48a465,7,human,CONFIRMAÇÃO DA SOLUÇÃO ENTREGUE,2026-06-09T11:10:35.145075,,,,,,
27,0012d6b6-890d-4641-9748-b4eb8f48a465,99999,System,END-DIALOGUE-SYSTEM,2026-06-09T11:10:35.145075,,,,,,
28,00148b98-3274-4142-8c43-1f68327bc6dc,-1,System,START-DIALOGUE-SYSTEM,2026-08-10T19:43:46.623551,,,,,,
29,00148b98-3274-4142-8c43-1f68327bc6dc,0,ai,APRESENTAÇÃO DO CHATBOT,2026-08-10T19:43:46.623551,,,,,,
30,00148b98-3274-4142-8c43-1f68327bc6dc,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-08-10T19:45:06.247977,,,,,,
31,00148b98-3274-4142-8c43-1f68327bc6dc,2,ai,RESPOSTA DE INFORMAÇÕES SOLICITADAS,2026-08-10T19:45:06.247977,,,,,,
32,00148b98-3274-4142-8c43-1f68327bc6dc,3,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-08-10T19:46:20.557971,,,,,,
33,00148b98-3274-4142-8c43-1f68327bc6dc,4,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-08-10T19:46:20.557971,,,,,,
34,00148b98-3274-4142-8c43-1f68327bc6dc,5,human,FEEDBACK DO USUÁRIO,2026-08-10T20:26:33.629253,,,,,,
35,00148b98-3274-4142-8c43-1f68327bc6dc,99999,System,END-DIALOGUE-SYSTEM,2026-08-10T20:26:33.629253,,,,,,
36,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,-1,System,START-DIALOGUE-SYSTEM,2026-05-30T00:53:21.936804,,,,,,
37,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,0,ai,APRESENTAÇÃO DO CHATBOT,2026-05-30T00:53:21.936804,,,,,,
38,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-05-30T00:55:57.390398,,,,,,
39,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-05-30T00:55:57.390398,,,,,,
40,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,3,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-05-30T00:58:21.133041,,,,,,
41,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,4,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-05-30T00:58:21.133041,,,,,,
42,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,5,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-05-30T01:00:30.524466,,,,,,
43,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,6,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-05-30T01:00:30.524466,,,,,,
